Date,Price,Open,High,Low,Vol.,Change %
12/08/2024,1.05538,1.05593,1.05944,1.05322,,
12/09/2024,1.05276,1.05551,1.05683,1.04985,,
12/10/2024,1.0496,1.05276,1.05394,1.04802,,
12/11/2024,1.04666,1.0496,1.0531,1.04638,,
12/12/2024,1.05025,1.04702,1.05243,1.04532,,
12/15/2024,1.05108,1.04894,1.05248,1.04746,,
12/16/2024,1.04916,1.0511,1.05344,1.04792,,
12/17/2024,1.03497,1.04926,1.05129,1.03439,,
12/18/2024,1.03634,1.03537,1.04224,1.03475,,
12/19/2024,1.04294,1.03648,1.04476,1.0343,,
12/22/2024,1.04064,1.04316,1.04462,1.03843,,
12/23/2024,1.03966,1.04096,1.04106,1.03836,,
12/25/2024,1.04228,1.04042,1.043,1.03906,,
12/26/2024,1.04266,1.04215,1.04441,1.04052,,
12/29/2024,1.04068,1.04316,1.04584,1.03718,,
12/30/2024,1.03533,1.04032,1.04245,1.03439,,
01/01/2025,1.0267,1.0355,1.03759,1.02241,,
01/02/2025,1.0309,1.026,1.031,1.026,,
01/05/2025,1.03901,1.03057,1.0437,1.02956,,
01/06/2025,1.03404,1.0385,1.04345,1.03396,,
01/07/2025,1.03188,1.03425,1.03577,1.02732,,
01/08/2025,1.02998,1.03166,1.03216,1.02836,,
01/09/2025,1.02442,1.03008,1.0312,1.02128,,
01/12/2025,1.02434,1.02404,1.02501,1.01779,,
01/13/2025,1.03082,1.02448,1.03086,1.02385,,
01/14/2025,1.02904,1.03048,1.03548,1.02583,,
01/15/2025,1.0302,1.02875,1.03152,1.02608,,
01/16/2025,1.02718,1.02978,1.03308,1.02653,,
01/19/2025,1.0417,1.02825,1.04345,1.02664,,
01/20/2025,1.0429,1.04131,1.04356,1.03417,,
01/21/2025,1.04102,1.04274,1.04574,1.03922,,
01/22/2025,1.04156,1.04125,1.0438,1.03721,,
01/23/2025,1.04953,1.04169,1.05215,1.04116,,
01/26/2025,1.04921,1.04808,1.05333,1.04539,,
